ID,survtime,censor
1,9,1
2,17,0
3,4,1
4,3,1
5,3,1
6,4,1
7,4,1
8,17,0
9,9,1
10,17,0
11,17,0
12,17,0
13,3,1
14,4,1
15,17,0
16,5,1
17,11,1
18,4,1
19,3,1
20,5,1
21,17,0
22,3,1
23,17,0
24,3,1
25,9,1
26,4,1
27,17,0
28,17,0
29,16,1
30,17,0
31,17,0
32,6,1
33,3,1
34,4,1
35,7,1
36,11,1
37,4,1
38,15,1
39,17,0
40,5,1
41,17,0
42,12,1
43,9,1
44,8,1
45,9,1
46,9,1
47,4,1
48,17,0
49,5,1
50,17,0
51,17,0
52,16,1
53,17,0
54,17,0
55,9,1
56,11,1
57,17,0
58,2,1
59,17,0
60,1,1
61,8,1
62,3,1
63,5,1
64,3,1
65,17,0
66,3,1
67,17,0
68,4,1
69,17,0
70,17,0
71,17,0
72,5,1
73,17,0
74,3,1
75,17,0
76,17,0
77,1,1
78,17,0
79,11,1
80,4,1
81,4,1
82,17,0
83,3,1
84,17,0
85,17,0
86,17,0
87,17,0
88,17,0
89,4,1
90,17,0
91,17,0
92,4,1
93,4,1
94,4,1
95,5,1
96,9,1
97,7,1
98,3,1
99,17,0
100,4,1
101,17,0
102,4,1
103,4,1
104,9,1
105,17,0
106,4,1
107,4,1
108,3,1
109,1,1
110,4,1
111,6,1
112,4,1
113,17,0
114,17,0
115,3,1
116,17,0
117,4,1
118,17,0
119,17,0
120,9,1
121,3,1
122,7,1
123,17,0
124,8,1
125,3,1
126,5,1
127,3,1
128,17,0
129,17,0
130,4,1
131,17,0
132,3,1
133,17,0
134,17,0
135,4,1
136,17,0
137,4,1
138,4,1
139,17,0
140,1,1
141,11,1
142,4,1
143,3,1
144,17,0
145,8,1
146,4,1
147,3,1
148,17,0
149,5,1
150,4,1
151,3,1
152,17,0
153,5,1
154,6,1
155,17,0
156,5,1
157,17,0
158,6,1
159,17,0
160,5,1
161,4,1
162,17,0
163,17,0
164,1,1
165,7,1
166,17,0
167,17,0
168,17,0
169,17,0
170,4,1
171,5,1
172,17,0
173,9,1
174,3,1
175,5,1
176,4,1
177,3,1
178,4,1
179,9,1
180,17,0
181,17,0
182,4,1
183,17,0
184,4,1
185,3,1
186,4,1
187,4,1
188,6,1
189,4,1
190,4,1
191,17,0
192,3,1
193,9,1
194,17,0
195,17,0
196,8,1
197,17,0
198,17,0
199,5,1
200,17,0
201,8,1
202,3,1
203,17,0
204,17,0
205,17,0
206,3,1
207,17,0
208,3,1
209,4,1
210,17,0
211,17,0
212,17,0
213,3,1
214,17,0
215,17,0
216,9,1
217,17,0
218,17,0
219,1,1
220,17,0
221,4,1
222,17,0
223,1,1
224,6,1
225,4,1
226,9,1
227,3,1
228,8,1
229,4,1
230,3,1
231,17,0
232,17,0
233,5,1
234,17,0
235,17,0
236,11,1
237,4,1
238,2,1
239,17,0
240,17,0
241,17,0
242,3,1
243,17,0
244,1,1
245,17,0
246,8,1
247,17,0
248,5,1
249,3,1
250,5,1
251,3,1
252,14,1
253,5,1
254,4,1
255,4,1
256,4,1
257,1,1
258,17,0
259,17,0
